PLAYER_NAME,TEAM_ABBREVIATION,GP_x,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PLAYER_ID,RANK,TEAM_ID,TEAM,GP_y,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,PPG,PTS_OFF_TOV_PCT,PTS_2ND_PCT,PTS_PAINT_PCT,PTS_FB_PCT
tari eason,HOU,22,2.3,2.0,2.2,5.7,1631106.0,275.0,1610612745.0,HOU,22.0,480.0,88.0,189.0,0.466,18.0,50.0,0.36,21.0,33.0,0.636,46.0,107.0,153.0,27.0,31.0,19.0,20.0,51.0,215.0,312.0,1.35,1.55,9.772727272727273,0.2353488372093023,0.20465116279069767,0.5832558139534884,0.22511627906976744
donte divincenzo,NYK,50,2.5,1.4,1.9,2.8,1628978.0,134.0,1610612752.0,NYK,43.0,953.0,169.0,368.0,0.459,112.0,266.0,0.421,37.0,52.0,0.712,31.0,103.0,134.0,93.0,48.0,13.0,47.0,83.0,487.0,514.0,1.98,1.02,11.325581395348838,0.22073921971252566,0.12361396303901435,0.2472279260780287,0.1677618069815195
ayo dosunmu,CHI,48,1.9,0.9,2.4,4.4,1630245.0,128.0,1610612741.0,CHI,42.0,972.0,140.0,292.0,0.479,45.0,120.0,0.375,39.0,48.0,0.813,28.0,78.0,106.0,89.0,29.0,15.0,37.0,80.0,364.0,405.0,2.4,0.78,8.666666666666666,0.21923076923076923,0.10384615384615385,0.5076923076923078,0.27692307692307694
gordon hayward,CHA,25,3.0,1.2,2.1,6.8,202330.0,189.0,1610612766.0,CHA,25.0,798.0,139.0,297.0,0.468,22.0,61.0,0.361,62.0,81.0,0.765,25.0,92.0,117.0,116.0,28.0,12.0,51.0,46.0,362.0,407.0,2.27,0.55,14.48,0.20718232044198895,0.08287292817679558,0.46961325966850825,0.14502762430939226
jalen suggs,ORL,46,2.7,1.5,2.1,4.0,1630591.0,115.0,1610612753.0,ORL,38.0,1015.0,177.0,386.0,0.459,78.0,197.0,0.396,66.0,86.0,0.767,25.0,103.0,128.0,91.0,50.0,26.0,74.0,109.0,498.0,490.0,1.23,0.68,13.105263157894736,0.2060240963855422,0.11445783132530121,0.30522088353413657,0.1602409638554217
cam whitmore,HOU,26,1.9,1.5,2.5,4.8,1641715.0,334.0,1610612745.0,HOU,18.0,268.0,64.0,130.0,0.492,23.0,57.0,0.404,21.0,33.0,0.636,10.0,46.0,56.0,6.0,13.0,4.0,13.0,24.0,172.0,160.0,0.46,1.0,9.555555555555555,0.19883720930232557,0.1569767441860465,0.5023255813953488,0.2616279069767442
herbert jones,NOP,44,2.1,1.4,2.3,4.7,1630529.0,72.0,1610612740.0,NOP,40.0,1152.0,150.0,312.0,0.481,51.0,135.0,0.378,75.0,88.0,0.852,45.0,100.0,145.0,99.0,48.0,38.0,48.0,110.0,426.0,533.0,2.06,1.0,10.65,0.1971830985915493,0.13145539906103285,0.4413145539906103,0.21596244131455397
aaron nesmith,IND,46,2.3,1.5,2.0,4.5,1630174.0,143.0,1610612754.0,IND,37.0,942.0,157.0,305.0,0.515,79.0,167.0,0.473,42.0,59.0,0.712,31.0,91.0,122.0,41.0,41.0,26.0,33.0,120.0,435.0,467.0,1.24,1.24,11.756756756756756,0.19563218390804596,0.12758620689655173,0.3827586206896552,0.17011494252873563
shaedon sharpe,POR,32,3.1,2.1,2.2,5.7,1631101.0,100.0,1610612757.0,POR,32.0,1059.0,176.0,434.0,0.406,60.0,180.0,0.333,98.0,119.0,0.824,42.0,118.0,160.0,94.0,28.0,12.0,72.0,88.0,510.0,453.0,1.31,0.39,15.9375,0.19450980392156864,0.13176470588235295,0.35764705882352943,0.13803921568627453
jalen johnson,ATL,35,2.9,1.8,2.4,9.4,1630552.0,157.0,1610612737.0,ATL,28.0,900.0,168.0,299.0,0.562,32.0,83.0,0.386,53.0,70.0,0.757,33.0,198.0,231.0,87.0,37.0,23.0,61.0,68.0,421.0,590.0,1.43,0.61,15.035714285714286,0.19287410926365794,0.11971496437054631,0.6251781472684086,0.15961995249406175
