SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM,GAME_DATE,GAME_ID,MATCHUP,TEAM_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
22022,1630231,kj martin,PHI,2023-04-09,0022201222,HOU @ WAS,1610612745,21,5,12,0.417,0,2,0.0,2,2,1.0,0,3,3,1,0,0,0,1,12
22022,1630231,kj martin,PHI,2023-04-07,0022201202,HOU @ CHA,1610612745,39,7,10,0.7,0,0,,0,2,0.0,2,4,6,3,2,0,1,1,14
22022,1630231,kj martin,PHI,2023-04-04,0022201183,HOU vs. DEN,1610612745,27,5,8,0.625,0,0,,2,3,0.667,2,3,5,1,0,0,0,3,12
22022,1630231,kj martin,PHI,2023-04-02,0022201171,HOU vs. LAL,1610612745,28,5,8,0.625,1,2,0.5,0,0,,3,2,5,1,0,0,1,1,11
22022,1630231,kj martin,PHI,2023-03-31,0022201155,HOU vs. DET,1610612745,35,3,6,0.5,0,2,0.0,9,12,0.75,1,5,6,1,0,2,0,3,15
22022,1630231,kj martin,PHI,2023-03-29,0022201137,HOU @ BKN,1610612745,34,6,13,0.462,3,5,0.6,0,0,,2,5,7,1,0,0,0,2,15
22022,1630231,kj martin,PHI,2023-03-27,0022201124,HOU @ NYK,1610612745,33,7,11,0.636,1,3,0.333,3,4,0.75,1,5,6,2,1,0,1,1,18
22022,1630231,kj martin,PHI,2023-03-26,0022201117,HOU @ CLE,1610612745,31,6,8,0.75,1,2,0.5,0,0,,2,2,4,2,0,0,3,4,13
22022,1630231,kj martin,PHI,2023-03-24,0022201100,HOU @ MEM,1610612745,30,4,6,0.667,0,1,0.0,2,2,1.0,0,3,3,2,0,1,1,3,10
22022,1630231,kj martin,PHI,2023-03-22,0022201088,HOU @ MEM,1610612745,39,12,18,0.667,2,5,0.4,5,8,0.625,3,3,6,0,0,2,0,1,31
22022,1630231,kj martin,PHI,2023-03-20,0022201074,HOU vs. GSW,1610612745,33,5,12,0.417,0,4,0.0,3,3,1.0,1,2,3,1,2,0,0,0,13
22022,1630231,kj martin,PHI,2023-03-19,0022201067,HOU vs. NOP,1610612745,28,3,5,0.6,2,4,0.5,0,0,,1,4,5,0,0,0,1,3,8
22022,1630231,kj martin,PHI,2023-03-17,0022201051,HOU vs. NOP,1610612745,30,4,7,0.571,1,2,0.5,5,6,0.833,3,3,6,0,0,0,0,0,14
22022,1630231,kj martin,PHI,2023-03-15,0022201038,HOU vs. LAL,1610612745,33,7,11,0.636,0,2,0.0,2,2,1.0,2,6,8,3,1,0,4,3,16
22022,1630231,kj martin,PHI,2023-03-13,0022201024,HOU vs. BOS,1610612745,40,8,13,0.615,1,6,0.167,3,5,0.6,4,4,8,1,1,0,1,2,20
22022,1630231,kj martin,PHI,2023-03-11,0022201009,HOU vs. CHI,1610612745,31,6,11,0.545,2,4,0.5,2,3,0.667,0,1,1,1,0,0,1,1,16
