handicap,odds,participant_name,name,description,AwayTeam,HomeTeam,game_date,scoresMatch,hitsMatch,scores10,scores,Home
15.5,100.0,michael porter,Under,Total Points,DEN,UTA,2024-01-10,4.0,3.0,10.0,5.0,False
16.5,76.92307692307693,michael porter,Under,Total Points,DEN,UTA,2024-01-10,4.0,3.0,10.0,5.0,False
17.5,64.51612903225806,michael porter,Under,Total Points,DEN,UTA,2024-01-10,4.0,3.0,10.0,5.0,False
23.5,105.0,nikola jokic,Under,Total Points,DEN,UTA,2024-01-10,5.0,2.0,10.0,4.0,False
24.5,83.33333333333334,nikola jokic,Under,Total Points,DEN,UTA,2024-01-10,5.0,2.0,10.0,4.0,False
25.5,74.07407407407408,nikola jokic,Under,Total Points,DEN,UTA,2024-01-10,5.0,2.0,10.0,4.0,False
6.5,120.0,peyton watson,Under,Total Points,DEN,UTA,2024-01-10,4.0,4.0,10.0,3.0,False
7.5,83.33333333333334,peyton watson,Under,Total Points,DEN,UTA,2024-01-10,4.0,4.0,10.0,3.0,False
8.5,64.51612903225806,peyton watson,Under,Total Points,DEN,UTA,2024-01-10,4.0,4.0,10.0,4.0,False
8.5,120.0,reggie jackson,Under,Total Points,DEN,UTA,2024-01-10,2.0,2.0,10.0,6.0,False
9.5,90.9090909090909,reggie jackson,Under,Total Points,DEN,UTA,2024-01-10,2.0,2.0,10.0,7.0,False
10.5,68.96551724137932,reggie jackson,Under,Total Points,DEN,UTA,2024-01-10,2.0,2.0,10.0,7.0,False
7.5,105.0,simone fontecchio,Under,Total Points,DEN,UTA,2024-01-10,2.0,1.0,10.0,5.0,True
8.5,86.95652173913044,simone fontecchio,Under,Total Points,DEN,UTA,2024-01-10,2.0,1.0,10.0,6.0,True
6.5,115.0,walker kessler,Under,Total Points,DEN,UTA,2024-01-10,3.0,0.0,10.0,2.0,True
7.5,90.9090909090909,walker kessler,Under,Total Points,DEN,UTA,2024-01-10,3.0,0.0,10.0,2.0,True
8.5,58.82352941176471,walker kessler,Under,Total Points,DEN,UTA,2024-01-10,3.0,0.0,10.0,4.0,True
20.5,90.9090909090909,aaron gordon,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,5.0,2.0,10.0,6.0,False
9.5,83.33333333333334,christian braun,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,5.0,3.0,10.0,5.0,False
19.5,86.95652173913044,collin sexton,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,3.0,1.0,10.0,6.0,True
27.5,90.9090909090909,jamal murray,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,5.0,1.0,10.0,5.0,False
18.5,83.33333333333334,john collins,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,1.0,1.0,10.0,7.0,True
20.5,86.95652173913044,jordan clarkson,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,3.0,0.0,10.0,6.0,True
9.5,80.0,kelly olynyk,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,4.0,2.0,10.0,7.0,True
11.5,83.33333333333334,kentavious caldwell-pope,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,4.0,2.0,10.0,4.0,False
11.5,76.92307692307693,keyonte george,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,1.0,0.0,10.0,5.0,True
7.5,75.75757575757575,kris dunn,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,2.0,1.0,10.0,5.0,True
29.5,95.23809523809524,lauri markkanen,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,3.0,1.0,10.0,7.0,True
22.5,90.9090909090909,michael porter,Over,Total Points And Rebounds,DEN,UTA,2024-01-10,4.0,1.0,10.0,4.0,False
